ForeignId;ForeignName;ForeignKey;ForeignNameId;ForeignLocation；Star;CCommentCount;CRecommendCommentCount;CNeedToImproveCommentCount;CScore;CPrice;COpenYear;RoomCount;
上海汉庭新国际博览中心店;莫泰168（上海北外滩大连路地铁站店）;http://hotels.ctrip.com/hotel/dianping/427751.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/427751.html;北外滩地区;hotel_halfdiamond02;2445;2349;96;;;2004;156;
锦雪苑酒店;汉庭酒店（上海新国际博览中心店）;http://hotels.ctrip.com/hotel/dianping/1487351.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1487351.html;浦东新国际博览中心;hotel_halfdiamond02;1847;1641;206;;;2006;234;
新长江大酒店;上海锦雪苑酒店;http://hotels.ctrip.com/hotel/dianping/711742.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/711742.html;江湾、五角场商业区;hotel_halfdiamond04;1457;1383;74;;;2009;217;
上海四川北路海伦路地铁站店;上海新长江大酒店;http://hotels.ctrip.com/hotel/dianping/1355264.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1355264.html;宝钢工业园区;hotel_halfdiamond03;338;290;48;;;1992;324;
上海如家大柏树店;如家快捷酒店（上海四川北路海伦路地铁站店）;http://hotels.ctrip.com/hotel/dianping/428117.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/428117.html;四川北路商业区;hotel_halfdiamond02;962;870;92;;;2006;111;
上海茂业华美达广场;如家快捷酒店（上海曲阳商务中心大柏树地铁站店）;http://hotels.ctrip.com/hotel/dianping/428128.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/428128.html;江湾、五角场商业区;hotel_halfdiamond02;1359;1336;23;;;2012;93;
上海如家金桥店;上海茂业华美达广场酒店;http://hotels.ctrip.com/hotel/dianping/436284.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/436284.html;浦东新国际博览中心;hotel_halfdiamond04;3215;2955;260;;;2009;521;
上海莫泰168浦东张江路店;上海金桥和颐酒店;http://hotels.ctrip.com/hotel/dianping/662839.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/662839.html;浦东金桥地区;hotel_halfdiamond05;4390;4330;60;;;2013;137;
上海汉庭海友客栈中山公园店;莫泰168（上海浦东张江路店）;http://hotels.ctrip.com/hotel/dianping/1569569.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1569569.html;浦东张江地区;hotel_halfdiamond02;1936;1874;62;;;2010;201;
上海如家外滩城隍庙店;海友酒店（上海中山公园店）;http://hotels.ctrip.com/hotel/dianping/1215675.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1215675.html;中山公园商业区;hotel_halfdiamond02;786;712;74;;;2012;76;
大众大厦;如家快捷酒店（上海外滩城隍庙店）;http://hotels.ctrip.com/hotel/dianping/430071.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/430071.html;豫园地区;hotel_halfdiamond02;2607;2438;169;;;2010;130;
嘉廷酒店;上海大众大厦;http://hotels.ctrip.com/hotel/dianping/2104420.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/2104420.html;徐家汇地区;hotel_halfdiamond04;2090;2022;68;;;1997;105;
上海全季酒店漕河泾店;;http://hotels.ctrip.com/hotel/dianping/378516.html#ctm_ref=hod_sr_lst_dl_c_1_1;;;;4424;4197;227;;;;;
7天上海浦东金桥路地铁站店;全季酒店（上海漕河泾店）;http://hotels.ctrip.com/hotel/dianping/762441.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/762441.html;漕河泾开发区;hotel_halfdiamond03;1026;953;73;;;2014;137;
上海星程酒店陆家嘴店;全季酒店（上海漕河泾店）;http://hotels.ctrip.com/hotel/dianping/965502.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/762441.html;漕河泾开发区;hotel_halfdiamond03;1026;953;73;;;2014;137;
上海莫泰168酒店宛平南路店;7天连锁酒店（上海浦东金桥路地铁站店）;http://hotels.ctrip.com/hotel/dianping/346412.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/965502.html;浦东金桥地区;hotel_halfdiamond02;913;809;104;;;2010;112;
