Name;Star;Ranking;Locality;Location;TCommentCount;TExcellentCount;TGoodCount;TNormalCount;TBadCount;TVeryBadCount;TFamilyCat;TCoupleCat;TSoloCat;TBusinessCat;
上海布丁北外滩店;;316;虹口区;31.25073,121.49037;147;36;75;28;5;3;0;1;2;1;
格澜国际大酒店;;612;新天地;31.219498,121.48284;66;6;26;17;13;4;2;1;1;5;
晋元大酒店;;853;Qipu Road;31.24058,121.47002;109;12;43;37;15;2;2;0;0;2;
格林联盟上海豫园酒店;;1,052;城隍庙;31.2223,121.49852;27;4;13;9;0;1;1;1;0;0;
良良大酒店;;1,783;南外滩;,;5;0;4;1;0;0;0;0;0;0;
上海京昌酒店新昌店;;2,006;人民广场;,;1 ;;;;;;;;;;
九久假日酒店;;2,529;新天地;31.22183,121.47684;27;0;10;7;6;4;1;1;0;3;
明苑酒店;;2,548;人民广场;31.224161,121.47297;3;0;0;0;0;2;0;0;1;1;
上海新天地朗廷酒店;;3;新天地;31.221394,121.47442;753;596;109;21;4;4;51;119;36;396;
上海柏悦酒店;;19;陆家嘴;31.234732,121.50764;895;615;206;42;16;11;63;163;66;234;
碧云花园服务公寓;;118;;;31.23913,121.46795;281;64;150;48;13;6;38;52;23;53;
莫泰168酒店上海天目东路宝山路地铁站店;;284;Sichuan North Road;31.25019,121.47875;162;6;92;51;9;4;0;0;1;3;
上海Casa Serena巴越风酒店;;475;人民广场;31.2238,121.47278;38;12;9;13;2;2;1;3;4;5;
上海莫泰168南京路人民广场店;;593;人民广场;,;6;0;4;2;0;0;0;1;1;0;
上海阿拉宫新天地酒店;;1,031;新天地;31.218874,121.48152;32;7;11;11;1;2;0;0;0;0;
新宇宾馆;;1,154;虹口区;31.2517,121.48222;9;0;6;3;0;0;0;1;1;0;
北士大酒店;;1,168;Qipu Road;31.241144,121.46891;39;5;22;8;3;1;0;0;0;0;
东方明珠空中旅馆;;1,171;陆家嘴;,;9;4;5;0;0;0;0;0;0;0;
上海浦江之星东泰店;;1,248;新天地;31.21838,121.48206;23;4;9;6;0;4;0;0;0;0;
上海如家南京路人民广场店;;1,252;人民广场;31.226974,121.46999;70;12;37;17;2;2;0;1;0;2;
长钰商务酒店;;1,267;新天地;31.218874,121.48152;16;2;11;3;0;0;0;0;0;0;
翰庭酒店;;1,465;虹口区;31.25119,121.4815;31;2;11;11;4;2;2;1;1;0;
胜利旅馆;;2,034;Sichuan North Road;,;2;0;2;0;0;0;0;0;0;0;
北站大酒店;;2,214;Sichuan North Road;,;2;0;1;0;1;0;0;0;0;0;
嘉德酒店;;2,489;Sichuan North Road;31.250856,121.4813;69;12;33;21;2;1;0;1;0;1;
格林豪泰上海新天地老西门地铁站贝壳酒店;;;新天地;,;;;;;;;;;;;
上海锦江之星共富新村酒店;;;;;,;;;;;;;;;;;
上海如家天目东路宝山路地铁站店;;;;;,;;;;;;;;;;;
斯亚精品酒店;;;虹口区;,;;;;;;;;;;;
永洁宾馆;;;城隍庙;,;;;;;;;;;;;
新帝豪酒店式服务公寓;;;陆家嘴;,;;;;;;;;;;;
上海如家外滩城隍庙小南门地铁站店;;2,097;;;,;1 ;;;;;;;;;;
回春宾馆;;2,252;人民广场;,;2;0;0;2;0;0;1;0;0;0;
莽源宾馆;;2,337;城隍庙;,;2;0;0;1;1;0;0;0;0;0;
红美宾馆;;;城隍庙;,;;;;;;;;;;;
上海布丁南外滩店;;;城隍庙;,;;;;;;;;;;;
园馨客房部;;;虹口区;,;;;;;;;;;;;
上海E居酒店式自助公寓闸北区火车站店;;;Qipu Road;,;;;;;;;;;;;
上海浦东文华东方酒店;;1;陆家嘴;31.24396,121.50627;724;628;76;13;4;0;93;170;44;274;
上海御锦轩凯宾斯基全套房酒店;;73;静安区;31.232359,121.46518;143;72;47;16;4;4;15;28;9;67;
